path,size_bytes,sha256
artifacts/base_features.npz,1567265,12b3ade4800c57bdb737502ea552b7e3cda1b57d523072ccb47634cc12ea45a9
artifacts/hyperparameter_search.csv,973,13eee0ffdf1f0011366be883c2ede7dd6b2732d59e173d8b82035e41ae02cd33
artifacts/rate_distortion.png,77308,4737f7915806437389bc574363c07ec716d9ad3747b90e367463dd5a53d67748
artifacts/rate_distortion_metrics.csv,1762,1ca8e16cdf2df3e25cfd06de97ae0f8483f034aadb79e2f7c01459dc4948af62
artifacts/reconstruction_examples.npz,40252,a4f8782de6fe61060b7dd23ac0f6779ce04d2532db8c77a5ba64293ac09e2e85
artifacts/reconstruction_examples.png,258527,d06341bb306cfa9ec23cc76f3397f88b80cf0512746f9badfd50f57cd9d282e8
artifacts/selected_trajectory_examples.npz,28945,f0dd44bd692546bcea950718871e0ecfdc4a4e8077a8a874b65982b4cd0eb13e
artifacts/signal_manifest.csv,76357,779c7bee6bdb7ae8426db99f959db3fd419a71a20263d80a532f4461ee86ee5c
artifacts/signals.npz,350615,6817dca4f996d6720f07ca479084e282eccc270fea2832744cd0578300b1bc1c
artifacts/summary.json,2474,1ce4e5e4e14a794249c997b1aa5b752f1870a522718c3bc4893621cbcc48d2d4
config.json,298,58a0e30fffbb2cfe1fa0ecacd66c265aed9b753066674dc81ea29bb75add5c0b
environment.json,378,f49d510ec880f97d95ca216dd31566688d53d9d6a51b1437a9b1e9a8fa41fc6c
validation.json,331,0b7f54dda2fbf595b97f21b7098f16b8aae72e01ba75a2fc46cbb98d26044582
