path,size_bytes,sha256
assets/formula_boole_lyap.png,12938,f6ca26e584fc7565a0d634aecc98c8436a5445e9b9b3cff449209b77b0963f81
assets/formula_boole_map.png,11829,a5de8eea0a2c6a13b818c3d2af663bc07a348224a7f937070ca6a8b398cbbb03
assets/formula_boole_scale.png,6302,6614f0afddee1401adea110ec169ae0c8c26e11814d643d0c99791d77e459d7b
assets/formula_cover.png,10341,ea6aa35d09b70499bcc6385415eeb4c53ad645efc56c5c752362ea06fe2065ad
assets/formula_input_embedding.png,15492,5cd7c9c8ebd31e7322c834d3a965dd98932a18d80807aa7f70fba7cd99783ef3
assets/formula_mixing_matrix.png,11257,266dc0fe1832a0b06ea4073c4a20c5c2060d64eb4a1242c8b308ec2dd0d04b0d
assets/formula_output_lyap.png,13872,5f155fe4c9f75f19104cdf5e43dafa17e1fecae50e4d662b882e465766fed476
assets/formula_output_mixing.png,11742,a33f759813fbb45fe89e2240302b1ba51c93e0182bdc5d8d09ffe32e255aa912
assets/formula_sync_metric.png,14370,6f7b0fe209ef380849f030d19f6036bdb05aec43b64f3636d71ea0e466c2d51c
assets/formula_tangent_diffusive.png,10430,1812451444ea62d85d4141f3daf065a7a18f5ec2d0237dffaadf4f782611c61e
assets/formula_tangent_diffusive_lyap.png,15782,c4db089db6c3dbb905fbd576d3f3402d9012d9adbbf861295d4bc41c9a05ba9b
assets/formula_tangent_map.png,9068,c3b52130fbdfa65ab6ff3486097b9c4de75dc59a716e1d23327cffa7025809de
assets/formula_tangent_output.png,11550,955eb220d6e355a7fdcb4ace38c00deee13d9db859fd3396a43cb83f081a66a9
assets/formula_tangent_output_lyap.png,9193,736088acbcb78e2fb855ce8190892e6fce4e10a6b98c51b6dd852f60455bea93
assets/formula_tm_basis.png,12705,b306e9abeb15b1026c4ae44c2aee3d1675d8ceafae65c1d4ae5ed02a76fb8494
assets/formula_tm_corr.png,13809,1a6ffe8570b33f650cf841949ead6f1d48b378520f7bf4362e8b16628cc8827d
assets/formula_updated_hypothesis.png,22771,9cca493a151fff871cd6a048ca36f7e6c00e674aee24032fd52b76d3a66293d2
chaos_sync_unified_experiment_report_ja.pdf,1639707,8fafa51dbc4082c8f9c243d7bd488420f720ad1d32a1b8a82506ba0ee5e124de
qpdf_check.txt,38,ebf39a0c36a68aae1d2f88ca02cf5100f4420d48c5716f30be2c72b076b79c43
